id,street,buildingnum,apptnum,city,region,country
1000,Łączna,62,62,Nowy Targ,Kujawsko-pomorskie,Polska
1001,,20,,Piła,Lubelskie,Polska
1002,Maja,37,49,Mielec,Wielkopolskie,Polska
1003,,32,,Wejherowo,Małopolskie,Polska
1004,Maja,12,74,Świecie,Kujawsko-pomorskie,Polska
1005,Malinowa,49,52,Ostrowiec Świętokrzyski,Świętokrzyskie,Polska
1006,Tęczowa,38,70,Chełm,Łódzkie,Polska
1007,Ciasna,18,52,Oleśnica,Kujawsko-pomorskie,Polska
1008,Topolowa,29,17,Konin,Wielkopolskie,Polska
1009,Jeziorna,58,70,Brodnica,Śląskie,Polska
1010,Kasprowicza,15,94,Poznań,Świętokrzyskie,Polska
1011,,40,,Oleśnica,Śląskie,Polska
1012,Kraszewskiego,31,3,Augustów,Podkarpackie,Polska
1013,Rumiankowa,51,91,Pabianice,Opolskie,Polska
1014,Rzemieślnicza,87,45,Łuków,Wielkopolskie,Polska
1015,Polna,90,55,Łódź,Lubelskie,Polska
1016,Staffa,62,33,Piekary Śląskie,Pomorskie,Polska
1017,,57,,Mysłowice,Wielkopolskie,Polska
1018,Jeżynowa,51,86,Myszków,Mazowieckie,Polska
1019,Sarnia,25,80,Nysa,Opolskie,Polska
1020,Traugutta,47,87,Tarnów,Podkarpackie,Polska
1021,,49,,Kutno,Mazowieckie,Polska
1022,Dobra,35,75,Lubin,Opolskie,Polska
1023,Krzywa,14,69,Gdańsk,Wielkopolskie,Polska
1024,Niecała,69,54,Sieradz,Śląskie,Polska
1025,,72,,Chojnice,Pomorskie,Polska
1026,,50,,Piotrków Trybunalski,Zachodniopomorskie,Polska
1027,Kołłątaja,74,99,Szczytno,Kujawsko-pomorskie,Polska
1028,Złota,73,62,Opole,Podkarpackie,Polska
1029,Wczasowa,72,18,Kościan,Kujawsko-pomorskie,Polska
1030,Wyzwolenia,17,13,Ciechanów,Wielkopolskie,Polska
1031,Dębowa,99,85,Ciechanów,Łódzkie,Polska
1032,,50,,Kędzierzyn-Koźle,Śląskie,Polska
1033,Lwowska,62,33,Pabianice,Opolskie,Polska
1034,Wypoczynkowa,50,1,Piekary Śląskie,Małopolskie,Polska
1035,,83,,Płock,Opolskie,Polska
1036,,32,,Nowy Sącz,Opolskie,Polska
1037,Krótka,83,27,Sieradz,Warmińsko-mazurskie,Polska
1038,Łączna,25,31,Ełk,Lubelskie,Polska
1039,Słowackiego,24,80,Sosnowiec,Dolnośląskie,Polska
1040,Cmentarna,83,59,Kraśnik,Lubuskie,Polska
1041,Borowa,38,52,Łomża,Małopolskie,Polska
1042,Miodowa,56,69,Cieszyn,Śląskie,Polska
1043,Brzozowa,49,87,Pruszcz Gdański,Lubelskie,Polska
1044,Ceglana,42,38,Turek,Warmińsko-mazurskie,Polska
1045,Dojazdowa,58,86,Tychy,Opolskie,Polska
1046,Makowa,62,52,Wodzisław Śląski,Lubelskie,Polska
1047,Żwirowa,54,31,Inowrocław,Zachodniopomorskie,Polska
